,,,card,reports,age,income,owner,selfemp,months
5% Missing,K=1,Euclidian,0.696969696969697,-1.8453206239168112,-2.7890639864486357,-0.9116825323099336,0.4090909090909091,0.9090909090909091,-1.5791018173635387
5% Missing,K=1,Hamming,0.696969696969697,-2.231369150779896,-2.387223297018468,-0.9394829015256305,0.4090909090909091,0.9090909090909091,-1.4326792677508338
5% Missing,K=1,Chi Square,0.7424242424242424,-0.28682842287694976,-2.0823517012996673,-0.8331508266288843,0.6363636363636364,0.8787878787878788,-2.1331530992840575
5% Missing,K=7,Euclidian,0.7272727272727273,-0.8781746967071056,-0.5868195408748806,-0.31586748170243806,0.4393939393939394,0.9393939393939394,-0.33346778303832303
5% Missing,K=7,Hamming,0.7424242424242424,-0.9497924176776427,-0.5283475954334369,-0.2632012611116954,0.4393939393939394,0.9393939393939394,-0.31676850372378196
5% Missing,K=7,Chi Square,0.7424242424242424,-0.3887023396880416,-0.62632100101085,-0.09032267776401293,0.5757575757575758,0.9393939393939394,-0.4197622345112295
5% Missing,Weighted,Euclidian,0.7121212121212122,-1.064644714038128,-0.7210007337122497,-0.4034422132950448,0.5,0.9393939393939394,-0.40382512154961336
5% Missing,Weighted,Hamming,0.7121212121212122,-1.1332755632582323,-0.6778863043250429,-0.3439974782940882,0.5151515151515151,0.9393939393939394,-0.4587691293624472
5% Missing,Weighted,Chi Square,0.7575757575757576,-0.3440207972270364,-0.7282065501908692,-0.28403920295787954,0.5909090909090909,0.9393939393939394,-0.5610870293319123
10% Missing,K=1,Euclidian,0.6515151515151515,-1.711585866885784,-1.3015994984695678,-0.6089549617359555,0.5075757575757576,0.8939393939393939,-0.9517099749078004
10% Missing,K=1,Hamming,0.6666666666666666,-2.199671322925225,-1.24587228051936,-0.6243142033286717,0.553030303030303,0.9015151515151515,-1.0667367464214363
10% Missing,K=1,Chi Square,0.6742424242424242,-1.3251848808545597,-1.388389580363897,-0.5019730630554049,0.48484848484848486,0.8863636363636364,-1.961309962340032
10% Missing,K=7,Euclidian,0.6742424242424242,-0.8382226992604762,-0.4653979991242707,-0.1758959221812857,0.5378787878787878,0.946969696969697,-0.41978308034379386
10% Missing,K=7,Hamming,0.6742424242424242,-0.8519351889893176,-0.5055923925113845,-0.1866541610113892,0.5303030303030303,0.946969696969697,-0.3523883043913518
10% Missing,K=7,Chi Square,0.7272727272727273,-0.2971623459326207,-0.5355034085456214,-0.25873413641400145,0.4696969696969697,0.946969696969697,-0.21241328085387146
10% Missing,Weighted,Euclidian,0.6818181818181818,-0.9024486442070658,-0.45816242821870934,-0.22325177103310412,0.553030303030303,0.946969696969697,-0.39902229262098676
10% Missing,Weighted,Hamming,0.6742424242424242,-0.976474938373048,-0.6350889759664842,-0.19282645310132773,0.553030303030303,0.946969696969697,-0.5039112628873799
10% Missing,Weighted,Chi Square,0.7272727272727273,-0.40351684470008164,-0.6335031248002447,-0.2889400058170488,0.4696969696969697,0.946969696969697,-0.3473055029490921
20% Missing,K=1,Euclidian,0.6666666666666666,-1.0780064240584517,-0.5650949698081302,-0.9498100503873073,0.5113636363636364,0.9015151515151515,-1.7225051794388269
20% Missing,K=1,Hamming,0.6477272727272727,-1.3319332180297203,-0.6636667735672435,-0.8933675208252869,0.5151515151515151,0.8977272727272727,-1.9166064595499037
20% Missing,K=1,Chi Square,0.625,-0.8031131975574459,-0.9781134913362779,-0.47377055961900916,0.5227272727272727,0.8636363636363636,-1.75903284948666
20% Missing,K=7,Euclidian,0.6893939393939394,-0.4463330062475732,-0.2023594427669031,-0.23653238649946462,0.5,0.9393939393939394,-0.5517910647865389
20% Missing,K=7,Hamming,0.678030303030303,-0.42580011295047826,-0.16512146181767484,-0.23355911529194007,0.4734848484848485,0.9393939393939394,-0.5638699660873019
20% Missing,K=7,Chi Square,0.7386363636363636,-0.09042921181744368,-0.23433562853367884,-0.1619676372584975,0.48863636363636365,0.9393939393939394,-0.2903369635693591
20% Missing,Weighted,Euclidian,0.696969696969697,-0.43932229713035165,-0.2094904729663687,-0.27812901868556494,0.49242424242424243,0.9356060606060606,-0.6125047267215504
20% Missing,Weighted,Hamming,0.7007575757575758,-0.46727754050333536,-0.213077438007246,-0.267790828850309,0.49242424242424243,0.9393939393939394,-0.6342338871018149
20% Missing,Weighted,Chi Square,0.7424242424242424,-0.111314108220677,-0.3070908385583382,-0.22212619894047214,0.4962121212121212,0.9356060606060606,-0.31422731146364247
